Timestamp start: 1715974908540
Timestamp end: 1715975689136

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      441.9   646.0   101.3   169.8   191.1   346.7   431.5   485.9   529.1   583.2   657.0   813.9  1867.0  8692.6 28888.6  90617.5    90728
read      480.3  1604.7   127.6   201.6   226.8   326.0   360.6   380.2   396.0   415.8   443.5   508.5  3945.9 31104.1 35998.8   5171.0     5151
read      455.9   642.0   101.3   168.0   188.5   341.4   429.7   488.5   534.9   592.9   680.6  1242.8  2016.9  7681.1 30257.1  82493.5    82969
read      354.6   235.9    93.8   155.7   172.9   315.5   392.7   442.9   483.4   530.4   584.5   656.1   840.2  1979.4  7803.6  42521.5    42635
read      356.2   359.7   101.3   162.1   180.5   313.4   387.3   431.5   464.5   505.2   558.7   639.2   848.6  3481.6 13223.4  99370.0    99337
read      357.7   276.1   101.3   164.1   182.6   317.7   393.4   438.9   473.0   515.6   571.2   652.8   844.9  2129.0 13102.0  95583.0    95192
read      361.5   310.4    93.8   161.1   178.0   317.4   398.7   447.2   483.9   528.9   583.3   662.0   867.6  3094.5  7561.6  69368.8    69200
read      364.5   290.9   101.3   157.6   174.9   320.5   400.9   451.7   491.1   538.1   593.3   667.9   897.9  2982.2 10689.4  49773.0    49459
read      412.7   313.5    93.8   162.0   180.6   338.2   453.0   520.4   569.2   631.6   739.6   898.7  1170.6  2493.0 10117.1  29026.2    29055
read      376.3   462.9   101.3   160.6   177.7   317.9   398.3   448.0   486.8   534.9   595.6   685.4  1280.1  4833.6 15852.7  64330.8    64324
read      455.7  1506.0   118.1   197.5   223.7   326.2   361.4   381.2   396.1   415.2   442.1   505.5  2827.2 30581.4 36862.1   5733.8     5705
read      415.5   474.1   101.3   164.2   183.5   332.0   416.0   469.2   511.4   565.6   637.9   794.7  1841.4  5213.2 19032.1  84551.2    84816
read      448.1   810.3   101.3   163.9   182.7   352.8   461.8   519.1   560.4   616.5   703.3   834.9  1423.6 10691.9 34456.3  23787.2    23714
read      420.5   498.8   101.3   163.2   182.1   328.8   415.1   469.8   513.8   569.2   646.3   928.6  1820.4  5169.8 13684.8  74126.0    74116
read      447.9   736.3   101.3   165.7   185.8   369.6   470.9   528.1   572.6   630.2   702.1   803.6  1179.6  9912.4 35436.2  20018.0    19948
read      394.8   486.8    93.8   157.0   174.6   320.9   408.8   468.6   515.0   568.7   632.4   766.4  1419.1  6267.7 19122.1  44286.2    44213
read      447.0   772.5   101.3   165.4   185.3   372.4   467.4   524.9   567.6   619.0   679.8   770.7  1233.7 10948.1 31711.0  19377.5    19454
read      500.0  1618.4   118.1   190.0   216.5   347.4   396.2   424.0   444.1   467.4   500.2   564.4  4205.3 31626.8 37486.6   7200.5     7190
read      405.6   550.7    93.8   157.7   175.2   319.0   404.9   467.1   516.0   575.4   648.3   865.1  1581.6  6235.1 30375.3  47639.0    47657
read      352.0   234.0   101.3   154.1   170.6   311.9   390.9   442.1   481.7   528.2   580.5   647.1   837.8  2289.9  7102.0  44444.8    44399
read      429.2  1083.9   118.1   191.5   216.7   332.2   371.9   396.2   414.0   434.4   466.6   530.2  2713.8 16109.9 31999.6   6533.2     6481
read      458.6  1395.9   109.4   190.7   217.9   331.6   371.5   393.7   409.3   430.1   461.0   529.1  3534.5 30581.9 37117.2   5829.5     5807
read      416.4   579.3   101.3   163.4   182.8   330.8   414.3   467.8   509.9   562.0   631.7   783.6  1791.5  7092.0 29954.7  83218.5    83137
read      419.8   964.1   109.4   182.0   205.6   346.8   399.3   430.0   453.3   481.0   518.1   578.9  1908.2 12371.1 32063.1   9677.0     9580
read      408.4   528.2   101.3   157.4   175.2   318.7   416.3   484.2   533.4   589.6   674.6   915.5  1362.3  6581.1 21335.6  37317.5    37385
read      354.5   318.5   101.3   153.2   169.1   304.0   390.7   448.6   488.6   529.8   573.9   630.2   805.4  4030.7 10152.5  33823.0    33706
read      353.2   371.9   101.3   153.7   169.5   304.3   390.2   448.5   489.3   531.8   576.1   631.1   793.7  3492.4 10630.9  35196.5    35204
read      357.3   298.2    93.8   157.5   174.8   315.7   390.1   439.9   480.4   529.5   585.1   655.1   828.5  3172.3  9835.3  50125.0    50438
read      351.6   221.0    93.8   156.7   173.9   315.6   391.7   440.3   480.4   526.2   578.1   642.5   797.4  1596.5  6358.4  48940.0    48878
read      362.3   343.2   101.3   155.6   172.7   317.1   396.4   450.7   493.2   539.9   591.7   658.4   814.7  4193.0  8644.0  42808.8    42682
read      423.7   485.6   101.3   161.3   179.6   339.8   456.3   522.9   572.3   638.6   744.5   887.5  1185.2  7705.3 22996.8  27568.0    27416
read      360.3   332.6   101.3   157.6   174.9   315.3   395.2   442.8   479.5   524.5   580.6   660.4  1016.0  2349.1 14382.2  64622.5    64424
